,title,author,likes
0,The Guy Upstairs,Hanza Art,"519,034"
1,Marry My Husband,sungsojak LICO,1.1M
2,True Beauty,Yaongyi,50.1M
3,Maybe Meant to Be,honeyskein damcho,2.5M
4,Teenage Mercenary,YC Rakyeon,6.6M
5,LUMINE,Emma Krogell,21M
6,Get Schooled,Yongtaek Chae GARAM HAN,5.4M
7,Jackson's Diary,Paola Batalla,6.1M
8,Unlovable Replacement,Nylana,7M
9,Sixth Sense Kiss,Got W Jocobong,4.7M
10,Nice To Meet You,Wishroomness,8.6M
11,Wished You Were Dead,SEOCHEONG ARAN,2.6M
12,The RUNWAY,Domi Nokdu,2.1M
13,Weak Hero,SEOPASS RAZEN,13.6M
14,The Four of Them,Mai Hirschfeld_,8.5M
15,Perfect Marriage Revenge,Yibambe so young,3.2M
16,I Love Yoo,Quimchee,34M
17,From a Knight to a Lady,Ink. Hyerim Sung,2.8M
18,Purple Hyacinth,Ephemerys Sophism,13.6M
19,The Second Lead Syndrome,Batusawa,"112,426"
20,Lookism,Taejun Pak,42.4M
21,Bitten Contract,sungeun,1.6M
22,Odd Girl Out,Morangji,19.7M
23,Seasons of Blossom,HONGDUCK NEMONE,6.6M
24,She's Hopeless,Seokwoo,4.3M
25,The Greatest Estate Developer,Lee hyunmin Kim Hyunsoo,1.5M
26,Archie Comics: Big Ethel Energy,Keryl Brown Ahmed Siobhan,2.2M
27,Annie Green Hates Girls,Minorinmakes,"110,218"
28,Going Up,Melissaboo,"62,518"
29,To You Who Swallowed a Star,ARI,3.8M
30,Secretary Out-of-Order,QuornQuorn Parand,1.7M
31,My Reason to Die,YUJU,"736,178"
32,After School Lessons for Unripe Apples,Soonkki,2.2M
33,Viral Hit,Taejun Pak Kim Junghyun,5.9M
34,Dear Nemesis,Velma ohsso,"427,035"
35,Lost in Translation,Jjolee,6.7M
36,To Tame a Fire,hilluhri,"365,311"
37,Surviving as a Fish,DONG9,"195,391"
38,Another Love ,I SOON KI DDOGAK,"865,622"
39,The Dark Lord's Confession,Topseoung,"485,187"
40,A Chance At Last,Dindon Seo hye eun,"735,757"
41,Study Group,Hyungwuk Shin Seungyeon Ryu,1.3M
42,Daytime Star,Chaeun Godago,"805,959"
43,Raven Saga,Chihiro Howe,1.7M
44,My Dud to Stud Boyfriend,YERANG SUTGGI,"328,310"
45,The Blood of the Butterfly,Remin,1.5M
46,Manager Kim,Jeongjongtaek Toy,"640,818"
47,No Longer A Heroine!,Maenggi Ki,3.6M
48,To Not Die,Parae Jinguk Lim,"534,007"
49,Watermelon,Rorita,6.1M
50,Space Boy,Stephen McCranie,7.3M
51,A Whirlwind Campus Affair,Uiyoung,"639,890"
52,The Croaking,echorise,6.6M
53,Flawed Almighty,Carnby Kim RH Song,1.1M
54,In the Bleak Midwinter;,Kat Ali,2.8M
55,Secret Playlist,2F,4.2M
56,Woven,Lark & Wren,"337,920"
57,"Date First, Love Later",the gom (HAPPYBOOKSTOYOU) jungmi,1.4M
58,Charming You,Gulrim Park Soo jung,"329,017"
59,Cierra,Rana Moona,"771,079"
60,The Fox Club,HJ. Hwang,"499,944"
61,Lone,Mel0h,2.1M
62,Señorita Cometa,Arechan,"429,994"
63,Heir's Game,suspu,4.6M
64,Pyramid Game,Dalgonyak,1.9M
65,The Prenup,Flada Siwon,"515,626"
66,Mistake,Cindy Chwa Honeytoast,"264,462"
67,Loaf App,Yugyeong Gulrim,"115,818"
68,"Take Me, I'm Yours",RoseBean One Punch Rabbit,"724,016"
69,Midnight Rain,Pani,1.7M
70,The Tax Reaper,WintersleepTurtle Elgar,"459,454"
71,Housekeeper,Yongtaek Chae Yuhyun,"294,295"
72,Neon Revenge,Gisong NemGa,1.9M
73,Our Secret Alliance,Cakenyam,"333,339"
74,Aza,usaesae,"513,088"
75,Seven Years Later,Tirapuw hievasp,"323,397"
76,Rewriting Our Love Story,choi gyeong min young mo,"203,058"
77,The Spark in Your Eyes,MURO,"871,163"
78,Four Leaf,Lumaga,2M
79,Who's Mr. President?,S.M.S KING Productions,"304,896"
80,Random Chat,PARK EUN HYUK,2.9M
81,Fluidum,GirlsOnFilm ValeriaM,1.6M
